GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1213722878,6.3782163586,11.3131937811,8.125680155,8.072167024,0.5530417295,17.0849731551,5.2210896536,
Albania,,,,,,,,,,,,,,,,,,,,,,3.6606640011,1.0004031287,-0.8263400472,-3.2778659957,-0.5040766374,2.9904554471,-3.4182944722,-3.8528697766,7.7785425908,-10.4999278981,-29.6363134597,-6.4980454444,11.0301794691,9.8484508602,14.6829293032,10.099132478,-9.598942794,13.1708892748,10.3261677176,7.3303541898,6.8080008371,2.4870382921,5.1242248932,5.2845665455,4.9311972436,4.507466403,5.463726072,7.3028359868,2.9335492305,3.1035352574,
Algeria,,-15.2274700094,-21.1409191871,31.8322840225,3.7138895613,3.818762263,-7.1934452541,6.46887306,7.6052752753,5.2348406269,5.6373136343,-13.9587643844,23.6296119562,0.6978094114,4.2282339548,1.8053703231,5.009755219,1.9599592317,5.7661149957,4.0495343503,-2.4549062457,-0.3440351529,2.9413875031,2.0134435762,2.2974367511,0.57830248,-2.4911302242,-3.4371179388,-3.6228184095,1.7216078587,-1.7144311122,-3.6056619653,-0.6049345106,-4.3049529828,-2.9754193878,1.8169173575,2.309008053,-0.4767192546,3.5742527428,1.7417272637,0.744621471,1.115126978,3.1694431555,5.3202439608,3.6328909623,3.5264576227,0.4619794936,1.4366157272,0.8491207222,0.8701894423,1.79182233,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,-0.6205264669,2.7777114462,2.6189371505,0.8835862464,-3.6103939702,-0.5159687138,-0.6317138309,-1.934616328,-3.6547833834,-2.1038186522,-4.964686478,-4.0470232437,-3.4681205139,-2.8165807455,-1.3731332226,0.6238668568,3.73271161,3.5629713106,2.771036729,0.7686199988,-1.599023714,-3.9122140808,-5.7670377754,-1.576770175,0.235369981,3.8026224568,9.6087692728,4.2533031294,4.5237097356,0.149965735,8.8139751265,1.806047394,2.0822269806,2.1160647188,2.3876299098,4.134693001,-0.4611649711,2.0819634954,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0338133236,5.1892296981,3.0473706897,-2.1257085877,-3.0250713881,-4.1534049936,-9.856370133,-27.142337547,0.2282324899,7.0971944481,8.0958325186,5.036283138,3.9918002637,0.3873972227,-0.0561457643,-0.1689508757,10.6289800832,-0.2389810141,7.4376848373,16.7249987857,14.9295310631,19.0943338419,10.5660685763,-2.1470018214,2.9595363939,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,3.8414311497,7.355746008,9.0543234395,4.9640531019,1.3843972209,6.2394851376,11.5488137386,9.7793432699,14.5969447543,10.0172723965,6.8365326337,6.5841389422,2.5286160222,1.1389007958,-0.8083301211,3.0702857448,3.6938723809,-6.615607866,4.0002410079,2.170955004,1.7788327283,1.6619320158,-0.7030345611,0.2633386044,0.814178253,3.5164283,5.5841015021,2.8495440481,11.8955719886,9.3891751833,-0.3689662263,-12.1858683256,-5.4111044871,
Argentina,,3.7401272457,-2.4177187438,-6.7780888705,8.4590167405,8.9322127609,-2.0885882787,1.7396639181,3.3442530483,8.0827783109,1.4714440929,3.9557536978,-0.0763529853,1.0579939111,3.756964609,-1.6560080354,-3.5493506522,5.3183154035,-5.9185233344,8.5967476629,2.5996067374,-7.1111113203,-6.3975129408,2.2986773044,0.6674052822,-8.9703908977,6.2766223619,1.4000170567,-3.9675529027,-8.8125749184,-3.7602154756,11.1337784588,10.4507552603,4.5293642855,4.4884571881,-4.0571874102,4.2349273015,6.8160242873,2.643932793,-4.4599449731,-1.8358389084,-5.3606148214,-11.7350226148,7.8520664853,8.0640612517,8.2181707448,7.5136011657,7.7033227666,5.8277119521,-0.0262204667,8.2167662937,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8792628918,-40.7521990102,-6.6469698855,7.9571509855,9.1342974016,7.5670244093,4.5520656248,8.1881556115,3.9175691705,6.4000827022,9.9242829109,13.361678145,14.0599101991,10.393610189,13.7415935358,13.0545629244,13.5887266029,6.7296730817,-14.3139535366,1.8645358189,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4558606557,9.0774156603,9.9824770172,-0.013678736,-1.5520832401,-2.1438306389,0.2160125503,6.3100825258,-2.1195058852,5.1333645007,4.6410322969,-0.6808023487,1.5812881863,-2.942210251,-4.8779419018,-0.8208708637,,,,,,,,
